### General,,,,,
Variable,Required,Description,Default,Version,Need recompile
---------------------------------------,--------,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,------------------------------------------------------,-------,--------------
`DATABASE_URL`,✅,Variable to define the Postgres Database endpoint.,(empty),all,
`ETHEREUM_JSONRPC_VARIANT`,✅,"Tells the application which RPC Client the node is using (i.e. `erigon`, `geth`, `nethermind`, `besu`, or `ganache`) ([See Client Settings for more info](client-settings.md))",ganache,all,
`ETHEREUM_JSONRPC_HTTP_URL`,✅,"The RPC endpoint used to fetch blocks, transactions, receipts, tokens.",localhost:8545,all,
`DATABASE_READ_ONLY_API_URL`,✅,"Variable to define the Postgres Database read-only replica endpoint. If it is provided, most of the read queries from API v2 and UI would go through this endpoint.",(empty),all,
`ETHEREUM_JSONRPC_TRACE_URL`,,The RPC endpoint specifically for the Erigon/Geth/Nethermind/Besu client used by trace\_block and trace\_replayTransaction. This can be used to designate a tracing node.,localhost:8545,all,
`ETHEREUM_JSONRPC_WS_URL`,,The WebSockets RPC endpoint used to subscribe to the `newHeads` subscription alerting the indexer to fetch new blocks.,ws://localhost:8546,all,
`ETHEREUM_JSONRPC_TRANSPORT`,,"Specifies the transport for Blockscout to connect to the Ethereum Node. Available transports are `http` and `ipc`. If `ipc` is selected, also set `IPC_PATH` variable.",http,v3.1.0+,
`ETHEREUM_JSONRPC_HTTP_INSECURE`,,"If `true` is set, allows insecure HTTP connections to the archive node. For instance, it allows to bypass expired SSL certificate at the archive node endpoint. Implemented in (#6573)\[https://github.com/blockscout/blockscout/pull/6573]",(empty),v5.0.0+,
`ETHEREUM_JSONRPC_HTTP_TIMEOUT`,,Timeout for ethereum json rpc http requests in seconds. Implemented in (#7089)[https://github.com/blockscout/blockscout/pull/7089],60,v5.1.2+,
`ETHEREUM_JSONRPC_USER`,,User in basic auth for JSON RPC endpoint. Implemented in (#6897)[https://github.com/blockscout/blockscout/pull/6897],(empty),v5.1.2+,
`ETHEREUM_JSONRPC_PASSWORD`,,Password in basic auth for JSON RPC endpoint. Implemented in (#6897)[https://github.com/blockscout/blockscout/pull/6897],(empty),v5.1.2+,
`ETHEREUM_JSONRPC_HTTP_HEADERS`,,"Custom headers for JSON RPC endpoint in form of json object, example: `{""x-api-key"": ""nbvkhadvnbkdfav"", ""x-id"": ""ndjkfvndfkjv""}`. Implemented in (#7898)[https://github.com/blockscout/blockscout/pull/7898]",(empty),v5.2.1+,
`NETWORK`,,Environment variable for the main EVM network such as Ethereum or POA.,POA,all,
`SUBNETWORK`,,Environment variable for the subnetwork such as Core or Sokol Network. This will be displayed as selected in the chains list dropdown.,POA Sokol,all,
`IPC_PATH`,,Path to the IPC file of the running node if IPC transport is chosen.,(empty),v2.1.1+,
`NETWORK_PATH`,,Used to set a network path other than what is displayed in the root directory. An example would be to add `/eth/mainnet/` to the root directory.,/,all,
`BLOCKSCOUT_HOST`,,Host for API endpoint examples.,localhost,v2.1.0+,
`BLOCKSCOUT_PROTOCOL`,,Url scheme for blockscout.,"in prod env `https` is used, in dev env `http` is used",v2.1.0+,
`SECRET_KEY_BASE`,✅,Use mix phx.gen.secret to generate a new Secret Key Base string to protect production assets.,(empty),all,
`CHECK_ORIGIN`,,"Used to check the origin of requests when the origin header is present. It defaults to `false`. In case of true, it will check against the host value.",false,all,
`PORT`,,Default port the application runs on is 4000.,4000,all,
`COIN`,,The coin here is checked via the CoinGecko API to obtain USD prices on graphs and other areas of the UI.,POA,all,
`COIN_NAME`,,"Displayed name of the coin. Also used for ""Add chain to MetaMask"" button and for Account functionality as native coin name in the email letters for watch list.",(empty),v4.1.2+,
`EMISSION_FORMAT`,,Should be set to `POA` if you have block emission identical to POA Network. This env var is used only if `CHAIN_SPEC_PATH` is set.,`DEFAULT`,v2.0.4+,
`CHAIN_SPEC_PATH`,,Chain specification path (absolute file system path or URL) to import block emission reward ranges and genesis account balances from. Geth- and OpenEthereum-style specs are supported.,(empty),v2.0.4+,
`SUPPLY_MODULE`,,"This environment variable is used by the xDai Chain/RSK in order to tell the application how to calculate the total supply of the chain. Available values are `TokenBridge`, `RSK`",(empty),all,
`POOL_SIZE`,,Variable to define the number of database connections allowed excluding read-only API endpoints requests.,50,all,
`POOL_SIZE_API`,,Variable to define the number of database connections allowed for read-only API endpoints requests.,50,v4.1.0+,
`ECTO_USE_SSL`,,Production environment variable to use SSL on Ecto queries.,true,all,
`HEART_BEAT_TIMEOUT`,,Production environment variable to restart the application in the event of a crash.,30,all,
`HEART_COMMAND`,,Production environment variable to restart the application in the event of a crash.,(empty),all,
`ELIXIR_VERSION`,,Elixir version to install on the node before Blockscout deploy. It is used in bash script in Terraform / Ansible deployment script,(empty),all,
`GRAPHIQL_TRANSACTION`,,Default transaction hash in a sample query to GraphiQL.,(empty),v1.2.0+,✅
`DISABLE_WEBAPP`,,"If `true`, endpoints to webapp are hidden (compile-time). Also, enabling it makes notifications go through `db_notify`",`false`,v2.0.3+,✅
`API_V1_READ_METHODS_DISABLED`,,"If `true`, read-only endpoints to API v1 are hidden (compile-time).",`false`,v5.1.5+,✅
`API_V1_WRITE_METHODS_DISABLED`,,"If `true`, write endpoints to API v1 are hidden (compile-time).",`false`,v5.1.5+,✅
`WEBAPP_URL`,,"Link to web application instance, e.g. `protocol://host/path`",(empty),v2.0.3+,
`API_URL`,,"Link to API instance, e.g. `protocol://host/path`",(empty),v2.0.3+,
`CHECKSUM_ADDRESS_HASHES`,,"If set to `true`, redirects to checksummed version of address hashes.",true,v3.1.0+,
